je_id,entity,posting_date,value_date,period,account_code,account_name,account_type,cost_center,description,debit_credit,amount,currency,vendor_id,vendor_name,invoice_ref,user_id,approved_by,posting_hour,source_system,je_type,reversal_flag
JE-000001,BuildCo SA,2024-09-23,2024-09-23,2024-09,6600,IT & Software,Expense,CC302,Standard posting — IT & Software,C,955.88,USD,V001,Apex Consulting,INV-64373,a.silva,cfo.office,14,Oracle,Manual,N
JE-000002,BuildCo SA,2023-07-02,2023-07-02,2023-07,9300,Intercompany Payable,Liability,CC378,Standard posting — Intercompany Payable,D,169.67,EUR,V008,Alliance Insurance,INV-72354,a.silva,director.finance,9,SAP,Automated,N
JE-000003,ACME Corp,2024-10-07,2024-10-07,2024-10,6800,Insurance,Expense,CC836,Standard posting — Insurance,D,178.99,CAD,V010,Platinum Facilities,INV-51005,r.kumar,director.finance,15,Manual,Manual,N
JE-000004,FinServ Partners,2023-08-23,2023-08-23,2023-08,8100,Income Tax Expense,Expense,CC722,Standard posting — Income Tax Expense,D,489.99,USD,V006,NovaTech Services,INV-25916,r.kumar,vp.controller,10,SAP,Automated,N
JE-000005,TechFlow Inc,2024-03-30,2024-03-30,2024-03,4100,Revenue — Products,Revenue,CC527,Standard posting — Revenue — Products,C,492.16,USD,V010,Platinum Facilities,INV-38433,c.lambert,mgr.accounting,15,Oracle,Manual,N
JE-000006,FinServ Partners,2024-02-21,2024-02-21,2024-02,6200,Rent & Occupancy,Expense,CC104,Standard posting — Rent & Occupancy,C,6766.22,USD,V007,Stellar Recruitment,INV-62394,f.nkosi,cfo.office,9,SAP,Import,N
JE-000007,ACME Corp,2024-02-05,2024-02-05,2024-02,9300,Intercompany Payable,Liability,CC323,Standard posting — Intercompany Payable,C,742.46,USD,V008,Alliance Insurance,INV-56549,r.kumar,mgr.accounting,12,Import,Automated,N
JE-000008,ACME Corp,2023-02-06,2023-02-06,2023-02,2300,Short-Term Borrowings,Liability,CC342,Standard posting — Short-Term Borrowings,D,89102.07,USD,V003,Premier Office Supply,INV-12209,j.martin,mgr.accounting,13,Oracle,Automated,N
JE-000009,BuildCo SA,2023-07-03,2023-07-03,2023-07,6100,Salaries & Wages,Expense,CC489,Vendor payment — expense reimbursement,C,9883.89,USD,V004,Metro Legal Advisors,INV-70601,j.martin,dir.treasury,10,Oracle,Manual,N
JE-000010,BuildCo SA,2023-01-17,2023-01-17,2023-01,6400,Marketing & Advertising,Expense,CC504,Standard posting — Marketing & Advertising,D,3323.21,USD,V006,NovaTech Services,INV-67218,f.nkosi,vp.controller,10,SAP,Automated,N
JE-000011,TechFlow Inc,2024-05-19,2024-05-19,2024-05,6700,Depreciation & Amortisation,Expense,CC120,Standard posting — Depreciation & Amortisation,D,2953.22,GBP,V006,NovaTech Services,INV-59960,f.nkosi,director.finance,10,SAP,Import,N
JE-000012,TechFlow Inc,2023-06-22,2023-06-22,2023-06,4200,Revenue — Services,Revenue,CC601,Standard posting — Revenue — Services,C,47876.01,GBP,V004,Metro Legal Advisors,INV-96226,r.kumar,cfo.office,11,Oracle,Import,N
JE-000013,ACME Corp,2023-06-27,2023-06-27,2023-06,2400,Deferred Revenue,Liability,CC111,Standard posting — Deferred Revenue,C,23223.26,USD,V008,Alliance Insurance,INV-99343,t.yamada,cfo.office,10,Import,Manual,N
JE-000014,FinServ Partners,2023-03-17,2023-03-17,2023-03,7200,Interest Expense,Expense,CC459,Standard posting — Interest Expense,C,15929.53,USD,V009,ClearView Analytics,INV-36726,l.dupont,director.finance,16,Oracle,Automated,N
JE-000015,FinServ Partners,2023-03-09,2023-03-09,2023-03,9200,Intercompany Receivable,Asset,CC280,Standard posting — Intercompany Receivable,C,5628.7,USD,V009,ClearView Analytics,INV-44054,t.yamada,director.finance,17,Oracle,Manual,N
JE-000016,Global Trade Ltd,2023-08-12,2023-08-12,2023-08,1100,Cash & Cash Equivalents,Asset,CC537,Standard posting — Cash & Cash Equivalents,C,20930.99,GBP,V006,NovaTech Services,INV-96851,p.garcia,dir.treasury,12,Oracle,Automated,N
JE-000017,FinServ Partners,2023-04-20,2023-04-20,2023-04,3200,Retained Earnings,Equity,CC247,Standard posting — Retained Earnings,D,1032.24,EUR,V004,Metro Legal Advisors,INV-26153,t.yamada,cfo.office,15,Concur,Automated,N
JE-000018,Global Trade Ltd,2024-09-13,2024-09-13,2024-09,5100,Cost of Goods Sold,Expense,CC320,Standard posting — Cost of Goods Sold,D,24410.84,USD,V007,Stellar Recruitment,INV-24534,a.silva,dir.treasury,10,Oracle,Manual,N
JE-000019,BuildCo SA,2023-05-14,2023-05-14,2023-05,9200,Intercompany Receivable,Asset,CC965,Standard posting — Intercompany Receivable,D,383.92,GBP,V006,NovaTech Services,INV-17509,l.dupont,mgr.accounting,17,SAP,Import,N
JE-000020,Global Trade Ltd,2023-06-24,2023-06-24,2023-06,7200,Interest Expense,Expense,CC984,Vendor payment — expense reimbursement,D,9991.35,USD,V007,Stellar Recruitment,INV-25523,l.dupont,vp.controller,12,SAP,Manual,N
JE-000021,FinServ Partners,2023-07-22,2023-07-22,2023-07,3200,Retained Earnings,Equity,CC121,Standard posting — Retained Earnings,D,74720.36,EUR,V007,Stellar Recruitment,INV-68962,p.garcia,vp.controller,14,Oracle,Manual,N
JE-000022,Global Trade Ltd,2024-01-29,2024-01-29,2024-01,7200,Interest Expense,Expense,CC867,Standard posting — Interest Expense,C,3634.47,GBP,V010,Platinum Facilities,INV-84220,r.kumar,mgr.accounting,8,Oracle,Automated,N
JE-000023,ACME Corp,2023-09-10,2023-09-10,2023-09,4300,Other Operating Income,Revenue,CC722,Standard posting — Other Operating Income,C,483.95,EUR,V007,Stellar Recruitment,INV-61662,f.nkosi,dir.treasury,13,Oracle,Manual,N
JE-000024,ACME Corp,2024-09-13,2024-09-13,2024-09,6300,Professional Fees,Expense,CC646,Standard posting — Professional Fees,C,466567.18,CAD,V004,Metro Legal Advisors,INV-97281,p.garcia,cfo.office,9,SAP,Automated,N
JE-000025,Global Trade Ltd,2023-11-27,2023-11-27,2023-11,6500,Travel & Entertainment,Expense,CC360,Standard posting — Travel & Entertainment,C,4174.47,CAD,V009,ClearView Analytics,INV-91058,c.lambert,dir.treasury,11,SAP,Automated,N
JE-000026,BuildCo SA,2023-09-20,2023-09-20,2023-09,4100,Revenue — Products,Revenue,CC384,Standard posting — Revenue — Products,C,3528.48,USD,V005,FastTrack Logistics,INV-48632,p.garcia,vp.controller,12,Oracle,Import,N
JE-000027,FinServ Partners,2024-08-11,2024-08-11,2024-08,9200,Intercompany Receivable,Asset,CC185,Standard posting — Intercompany Receivable,C,674.85,USD,V004,Metro Legal Advisors,INV-88370,j.martin,dir.treasury,11,Oracle,Reversal,N
JE-000028,BuildCo SA,2024-04-23,2024-04-23,2024-04,1100,Cash & Cash Equivalents,Asset,CC150,Standard posting — Cash & Cash Equivalents,D,161.92,EUR,V001,Apex Consulting,INV-42192,r.kumar,cfo.office,11,Oracle,Automated,N
JE-000029,ACME Corp,2024-06-29,2024-06-29,2024-06,9100,Clearing / Suspense,Suspense,CC779,Vendor payment — expense reimbursement,D,9856.64,GBP,V005,FastTrack Logistics,INV-39018,t.yamada,vp.controller,12,Import,Manual,N
JE-000030,Global Trade Ltd,2023-11-20,2023-11-20,2023-11,4200,Revenue — Services,Revenue,CC868,Standard posting — Revenue — Services,D,7089.47,EUR,V005,FastTrack Logistics,INV-54357,c.lambert,director.finance,16,Oracle,Automated,N
JE-000031,FinServ Partners,2024-10-30,2024-10-30,2024-10,6500,Travel & Entertainment,Expense,CC293,Standard posting — Travel & Entertainment,D,215.21,EUR,V007,Stellar Recruitment,INV-44099,s.chen,dir.treasury,11,Import,Import,N
JE-000032,ACME Corp,2023-10-21,2023-10-21,2023-10,2400,Deferred Revenue,Liability,CC581,Standard posting — Deferred Revenue,D,216.77,GBP,V010,Platinum Facilities,INV-95763,r.kumar,cfo.office,9,SAP,Import,N
JE-000033,BuildCo SA,2023-07-31,2023-07-31,2023-07,1400,Prepaid Expenses,Asset,CC531,Standard posting — Prepaid Expenses,D,7322.05,GBP,V002,Global IT Solutions,INV-89140,j.martin,dir.treasury,15,Oracle,Automated,N
JE-000034,BuildCo SA,2024-07-27,2024-07-27,2024-07,1500,Property Plant & Equipment,Asset,CC986,Standard posting — Property Plant & Equipment,C,43632.29,CAD,V002,Global IT Solutions,INV-98491,c.lambert,dir.treasury,16,SAP,Import,N
